Metabolite,HMDB Name,Shift (ppm),Hs,Type,J (Hz),Height,Physiological Charge,SMILES,InChlKey,pKa (Strongest Acidic),pKa (Strongest Basic),Blood,Urine,Feces,Saliva,Cerebrospinal Fluid (CSF),Amniotic Fluid,Aqueous Humour,Ascites Fluid,Breast Milk,Lymph,Sweat,Tears
N-Acetylmannosamine,HMDB01129,5.135,1,d,1.43,0.1574,0,[H][C@@]1(O)O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1NC(C)=O,InChIKey=OVRNDRQMDRJTHS-OZRXBMAMSA-N,2.86,2.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ergocalciferol,HMDB00900,5.165,2,m,NA,0.0191,0,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,InChIKey=MECHNRXZTMCUDQ-RKHKHRCZSA-N,3.25,-6.3,NaN,NaN,NaN,0.008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pyridoxal 5'-phosphate,HMDB01491,5.175,11,d,6.82,0.2395,-2,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,InChIKey=NGVDGCNFYWLIFO-UHFFFAOYSA-N,3.27,4.95,0.0309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lathosterol,HMDB01170,5.175,1,m,NA,0.0053,0,[H][C@@]1(CC[C@@]2([H])C3=CC[C@@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,InChIKey=IZVFFXVYBHFIHY-SKCNUYALSA-N,1.57,-2.4,3.905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Oleanolic acid,HMDB02364,5.175,1,br. s.,NA,0.0783,-1,[H][C@@]12CC(C)(C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(O)=O,InChIKey=MIJYXULNPSFWEK-GTOFXWBISA-N,3.81,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stigmasterol,HMDB00937,5.175,1,dd,15.08 8.62,0.1071,0,CC[C@H](\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)C(C)C,InChIKey=HCXVJBMSMIARIN-PHZDYDNGSA-N,16.3,5.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D-Mannose,HMDB00169,5.187,7,d,1.317,NA,0,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,InChIKey=WQZGKKKJIJFFOK-QTVWNMPRSA-N,3.66,9.48,39,1.25,NaN,NaN,44,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Phosphoenolpyruvic acid,HMDB00263,5.195,1,t,1.19,0.9739,-3,OC(=O)C(=C)OP(O)(O)=O,InChIKey=DTBNBXWJWCWCIK-UHFFFAOYSA-N,4.83,-0.16,17.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Citalopram,HMDB05038,5.195,2,dd,NA,0.0144,1,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,InChIKey=WSEQXVZVJXJVFP-UHFFFAOYSA-N,1.87,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geraniol,HMDB05812,5.195,1,none,NA,NA,0,CC(C)=CCC\C(C)=C/CO,InChIKey=GLZPCOQZEFWAFX-YFHOEESVSA-N,1.87,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Trehalose,HMDB00975,5.195,13,d,3.8,0.7004,0,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,InChIKey=HDTRYLNUVZCQOY-LIZSDCNHSA-N,4.35,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Beta-N-Acetylglucosamine,HMDB00803,5.205,1,d,3.52,0.131,0,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,InChIKey=OVRNDRQMDRJTHS-FMDGEEDCSA-N,1.16,8.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D-Xylose,HMDB00098,5.205,1,d,3.66,0.3318,0,O[C@@H]1COC(O)[C@H](O)[C@H]1O,InChIKey=SRBFZHDQGSBBOR-IOVATXLUSA-N,14.58,-3,NaN,5.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N-Acetyllactosamine,HMDB01542,5.215,1,d,2.31,0.1277,0,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H]1O,InChIKey=KFEUJDWYNGMDBV-LODBTCKLSA-N,4.82,-0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heparin,HMDB01394,5.225,2,br. s.,NA,0.0312,-6,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(O)(=O)=O)O[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)O[C@H](O[C@H]3[C@H](O)[C@@H](OS(O)(=O)=O)C(O)O[C@H]3C(O)=O)[C@H](OS(O)(=O)=O)[C@H]2CS(O)(=O)=O)O[C@@H]1C(O)=O,InChIKey=ZFGMDIBRIDKWMY-PASTXAENSA-N,1.87,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L-Fucose,HMDB00174,5.225,3,d,3.9,0.1112,0,C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,InChIKey=SHZGCJCMOBCMKK-DHVFOXMCSA-N,14.12,9.39,NaN,9.6,NaN,112.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PA(16:0/16:0),HMDB00674,5.225,1,m,NA,0.0026,-2,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(O)=O)OC(=O)CCCCCCCCCCCCCCC,InChIKey=PORPENFLTBBHSG-MGBGTMOVSA-N,2.56,10.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Deacetyldiltiazem,HMDB02873,5.232,1,m,NA,0.1179,1,COC1=CC=C(C=C1)[C@@H]1SC2=CC=CC=C2N(CCN(C)C)C(=O)[C@@H]1O,InChIKey=NZHUXMZTSSZXSB-MOPGFXCFSA-N,2.52,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pyridoxal,HMDB01545,5.234,1,d,13.18,0.014,0,CC1=C(O)C(C=O)=C(CO)C=N1,InChIKey=RADKZDMFGJYCBB-UHFFFAOYSA-N,0.83,-4.9,0.251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D-Ribose 5-phosphate,HMDB01548,5.235,4,m,NA,0.1935,-2,OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,InChIKey=KTVPXOYAKDPRHY-SOOFDHNKSA-N,4.64,-6,13.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Glucose 6-phosphate,HMDB01401,5.235,1,d,3.75,0.4271,-2,OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O,InChIKey=NBSCHQHZLSJFNQ-GASJEMHNSA-N,1.86,4.95,29.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Alpha-D-Glucose,HMDB03345,5.235,1,d,3.8,0.3567,0,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,InChIKey=WQZGKKKJIJFFOK-DVKNGEFBSA-N,14.58,-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Alpha-Lactose,HMDB00186,5.235,1,d,3.8,0.1032,0,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,InChIKey=GUBGYTABKSRVRQ-XLOQQCSPSA-N,1.87,10,NaN,1.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D-Maltose,HMDB00163,5.235,1,d,3.8,0.1441,0,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,InChIKey=GUBGYTABKSRVRQ-DKBJLJRDSA-N,7.93,9.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Maltotetraose,HMDB01296,5.235,1,d,3.69,0.2586,0,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)C(O)O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,InChIKey=LUEWUZLMQUOBSB-AYQJAVFRSA-N,3.23,5.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D-Glucose,HMDB00122,5.238,5,d,3.677,NA,0,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,InChIKey=WQZGKKKJIJFFOK-GASJEMHNSA-N,1.89,-6.6,4935.2875,17.15333333,NaN,NA,2340,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Isomaltose,HMDB02923,5.245,1,d,3.8,0.4763,0,OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,InChIKey=DLRVVLDZNNYCBX-RTPHMHGBSA-N,9.91,-1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N-Acetylgalactosamine,HMDB00212,5.245,1,d,3.8,0.0368,0,CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O,InChIKey=OVRNDRQMDRJTHS-CBQIKETKSA-N,15.7,-3.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Prostaglandin E2,HMDB01220,5.255,1,m,NA,0.0104,-1,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,InChIKey=XEYBRNLFEZDVAW-ARSRFYASSA-N,3.84,-3.2,3.7,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2-Ethylacrylic acid,HMDB01862,5.255,2,q,1.6,0.2738,-1,CCC(=C)C(O)=O,InChIKey=WROUWQQRXUBECT-UHFFFAOYSA-N,3.28,9.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cellobiose,HMDB00055,5.255,3,d,3.68,0.1601,0,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,InChIKey=GUBGYTABKSRVRQ-QRZGKKJRSA-N,11.7,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melibiose,HMDB00048,5.255,1,d,3.75,0.0646,0,OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,InChIKey=DLRVVLDZNNYCBX-ABXHMFFYSA-N,2.06,-0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Naringin,HMDB02927,5.255,1,dd,NA,0.0277,0,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC2=CC(O)=C3C(=O)C[C@H](OC3=C2)C2=CC=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O,InChIKey=DFPMSGMNTNDNHN-ZPHOTFPESA-N,3.04,-3.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D-Glucuronic acid,HMDB00127,5.264,1,d,3.76,0.0639,-1,O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O,InChIKey=AEMOLEFTQBMNLQ-WAXACMCWSA-N,3.07,-3,NaN,36.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
L-Arabinose,HMDB00646,5.265,1,d,3.57,0.1173,0,O[C@H]1COC(O)[C@H](O)[C@H]1O,InChIKey=SRBFZHDQGSBBOR-HWQSCIPKSA-N,13.62,-3,2.5,8.75,NaN,NaN,14.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TG(16:0/16:0/16:0)[iso],HMDB05356,5.265,1,m,NA,0.0143,0,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,InChIKey=PVNIQBQSYATKKL-UHFFFAOYSA-N,1.87,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erythrose,HMDB02649,5.265,1,d,3.41,0.124,0,O[C@@H]1COC(O)[C@@H]1O,InChIKey=FMAORJIQYMIRHF-HERZVMAMSA-N,1.93,-0.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Aldosterone,HMDB00037,5.275,1,s,NA,0.0606,0,C[C@]12CCC(=O)C=C1CCC1C3CC[C@H](C(=O)CO)[C@]3(C[C@H](O)C21)C=O,InChIKey=PQSUYGKTWSAVDQ-SRPWZAMTSA-N,4.03,-3,6.80E-05,0.01,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D-Galactose,HMDB00143,5.275,1,d,3.66,0.1585,0,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,InChIKey=WQZGKKKJIJFFOK-PHYPRBDBSA-N,1.87,10,88.3,4.4,NaN,83.46,166,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N-Acetylgalactosamine 4-sulphate,HMDB00781,5.275,1,d,3.63,0.1185,-1,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](OS(O)(=O)=O)[C@@H]1O,InChIKey=WHCJUIFHMJFEFZ-UIAUGNHASA-N,4.09,9.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16-a-Hydroxypregnenolone,HMDB00315,5.285,1,m,NA,0.0498,0,[H][C@@]12C[C@@H](O)[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,InChIKey=ZAKJZPQDUPCXSD-YRWKUUEZSA-N,18.3,-0.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17a-Hydroxypregnenolone,HMDB00363,5.285,1,m,NA,0.069,0,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,InChIKey=JERGUCIJOXJXHF-TVWVXWENSA-N,4.56,-0.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cholesterol sulfate,HMDB00653,5.295,1,m,NA,0.0975,-1,[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OS(O)(=O)=O,InChIKey=BHYOQNUELFTYRT-DPAQBDIFSA-N,1.22,-1.3,5.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3b-Hydroxy-5-cholenoic acid,HMDB00308,5.295,1,dd,3.04 2.22,0.014,-1,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,InChIKey=HIAJCGFYHIANNA-QIZZZRFXSA-N,10.29,-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Prostaglandin D2,HMDB01403,5.315,1,ddd,NA,0.0153,-1,CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](C\C=C/CCCC(O)=O)[C@@H](O)CC1=O,InChIKey=BHMBVRSPMRCCGG-OUTUXVNYSA-N,3.65,5.53,2.00E-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bilirubin,HMDB00054,5.315,1,dd,NA,0.102,-2,CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1,InChIKey=BPYKTIZUTYGOLE-IFADSCNNSA-N,3.6,-0.54,11.6,NA,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Danazol,HMDB02835,5.325,1,s,NA,0.5651,0,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC3=C(C[C@]12C)C=NO3,InChIKey=POZRVZJJTULAOH-LHZXLZLDSA-N,2.89,-3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CE(16:1(9Z)),HMDB00658,5.325,3,m,NA,0.0484,0,CCCCCC\C=C/CCCCCCCC(=O)OC1CC[C@@]2(C)C(=CCC3C4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CCC23)C1,InChIKey=HODJWNWCVNUPAQ-FSAOOAOSSA-N,1.87,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Galacturonic acid,HMDB02545,5.325,7,d,3.85,0.4349,-1,O[C@@H](C=O)[C@@H](O)[C@@H](O)[C@H](O)C(O)=O,InChIKey=IAJILQKETJEXLJ-RSJOWCBRSA-N,14.58,-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Naringenin,HMDB02670,5.335,0,dd,NA,0.0116,0,OC1=CC=C(C=C1)[C@@H]1CC(=O)C2=C(O)C=C(O)C=C2O1,InChIKey=FTVWIRXFELQLPI-ZDUSSCGKSA-N,18.2,9.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chlorogenic acid,HMDB03164,5.345,1,m,NA,0.0736,-1,O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\C2=CC(O)=C(O)C=C2)[C@@H]1O)C(O)=O,InChIKey=CWVRJTMFETXNAD-JUHZACGLSA-N,14.58,-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Erucic acid,HMDB02068,5.355,2,m,NA,0.1273,-1,CCCCCCCC\C=C/CCCCCCCCCCCC(O)=O,InChIKey=DPUOLQHDNGRHBS-KTKRTIGZSA-N,1.46,-6.1,0.646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Prostaglandin E2,HMDB01220,5.355,1,m,NA,0.0133,-1,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,InChIKey=XEYBRNLFEZDVAW-ARSRFYASSA-N,3.84,-3.2,3.7,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PC(16:0/16:0),HMDB00564,5.355,1,m,NA,0.0135,0,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,InChIKey=KILNVBDSWZSGLL-KXQOOQHDSA-N,4.6,-2.9,584.557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Allantoic acid,HMDB01209,5.355,4,m,NA,0.5249,-1,NC(=O)NC(NC(N)=O)C(O)=O,InChIKey=NUCLJNSWZCHRKL-UHFFFAOYSA-N,2.69,9.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amlodipine,HMDB05018,5.355,1,s,NA,0.1955,1,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC,InChIKey=HTIQEAQVCYTUBX-UHFFFAOYSA-N,1.87,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prostaglandin D2,HMDB01403,5.365,1,m,NA,0.0153,-1,CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](C\C=C/CCCC(O)=O)[C@@H](O)CC1=O,InChIKey=BHMBVRSPMRCCGG-OUTUXVNYSA-N,3.65,5.53,2.00E-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Campesterol,HMDB02869,5.365,1,m,NA,0.0121,0,[H][C@@]12CC[C@H]([C@H](C)CC[C@H](C)C(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,InChIKey=SGNBVLSWZMBQTH-ZRUUVFCLSA-N,1.87,8,8.346666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Beta-Sitosterol,HMDB00852,5.365,1,m,NA,0.0058,0,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](CC)C(C)C,InChIKey=KZJWDPNRJALLNS-VJSFXXLFSA-N,-33,-2,9.744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cholesterol,HMDB00067,5.365,1,dd,3.11 2.33,0.0112,0,[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2CC(O)CC[C@]12C,InChIKey=HVYWMOMLDIMFJA-FNOPAARDSA-N,3.17,-0.54,3567.92,NaN,NaN,NA,6.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nervonic acid,HMDB02368,5.365,2,m,NA,0.0364,-1,CCCCCCCC\C=C/CCCCCCCCCCCCCC(O)=O,InChIKey=GWHCXVQVJPWHRF-KTKRTIGZSA-N,13.78,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Alpha-Linolenic acid,HMDB01388,5.375,6,m,NA,0.0714,-1,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O,InChIKey=DTOSIQBPPRVQHS-PDBXOOCHSA-N,11.32,1.82,7.383333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Phosphoenolpyruvic acid,HMDB00263,5.375,1,t,1.36,1,-3,OC(=O)C(=C)OP(O)(O)=O,InChIKey=DTBNBXWJWCWCIK-UHFFFAOYSA-N,4.83,-0.16,17.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.11.14-Eicosatrienoic acid,HMDB02925,5.375,6,m,NA,0.1252,-1,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,InChIKey=HOBAELRKJCKHQD-QNEBEIHSSA-N,1.86,-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Alpha-Terpineol,HMDB04043,5.375,1,br. s.,NA,0.138,0,CC1=CC[C@@H](CC1)C(C)(C)O,InChIKey=WUOACPNHFRMFPN-VIFPVBQESA-N,1.86,-6.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Naringin,HMDB02927,5.375,1,dt,NA,0.0189,0,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC2=CC(O)=C3C(=O)C[C@H](OC3=C2)C2=CC=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O,InChIKey=DFPMSGMNTNDNHN-ZPHOTFPESA-N,3.04,-3.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stigmasterol,HMDB00937,5.375,1,br. s.,NA,0.1649,0,CC[C@H](\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)C(C)C,InChIKey=HCXVJBMSMIARIN-PHZDYDNGSA-N,16.3,5.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Linoleic acid,HMDB00673,5.383,4,m,NA,0.1328,-1,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,InChIKey=OYHQOLUKZRVURQ-HZJYTTRNSA-N,9.99,9.23,48.2866,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Oleic acid,HMDB00207,5.385,1,m,NA,0.026,-1,CCCCCCCC\C=C/CCCCCCCC(O)=O,InChIKey=ZQPPMHVWECSIRJ-KTKRTIGZSA-N,1.64,-7.2,72.13575,2.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dehydroepiandrosterone,HMDB00077,5.395,1,m,NA,0.0157,0,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34C)C1CCC2=O,InChIKey=FMGSKLZLMKYGDP-INNQQZFDSA-N,1.49,9.22,0.023,0.0658,NaN,0.0033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CE(16:0),HMDB00885,5.395,1,d,4.39,0.0041,0,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCCCCCCCCCC)[C@H](C)CCCC(C)C,InChIKey=BBJQPKLGPMQWBU-JADYGXMDSA-N,1.87,10,297.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CE(18:2(9Z.12Z)),HMDB00610,5.395,1,d,6.02,0.0303,0,CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@]23[H])C1,InChIKey=NAACPBBQTFFYQB-LJAITQKLSA-N,1.87,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Elaidic acid,HMDB00573,5.395,7,m,NA,0.2808,-1,CCCCCCCC\C=C\CCCCCCCC(O)=O,InChIKey=ZQPPMHVWECSIRJ-MDZDMXLPSA-N,2.91,-3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pregnenolone sulfate,HMDB00774,5.405,1,m,NA,0.0083,-1,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2CC(CC[C@]12C)OS(O)(=O)=O,InChIKey=DIJBBUIOWGGQOP-OZIWPBGVSA-N,-0.99,5.01,0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
